KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,HTetap,Mst,StMin,StMax,StAwal,StMasuk,StKeluar,Konsi,Disc,Foto,HJUAL2,HJUAL3,MARKUP2,MARKUP3,QTY2,QTY3
'8998127912370,'8998127912370,DUNHILL WHITE,RK,ROKOK,34000,34000,36000,5.88235,N,N,0,0,20,137,857,N,0,,27651.16,0,-18.67306,0,0,0
'8998127912363,8.99813E+12,DUNHILL HITAM,RK,ROKOK,27500,27500,30000,9.09091,N,N,0,0,20,83,658,N,0,,229010.69,0,732.76613,0,0,0
'76239878,'76239878,MARLBORO GOLD,RK,ROKOK,46500,46500,50000,7.52688,N,N,0,0,50,1221,1569,N,0,,29475.49,0,-37.28619,0,0,0
'76164217,'76164217,MARLBORO MERAH,RK,ROKOK,46500,46500,50000,7.52688,N,N,0,0,50,675,1013,N,0,,32051.76,0,-31.07148,0,0,0
'8997018460150,'8997018460150,MARLBORO ICE BURST,RK,ROKOK,46000,46000,50000,8.69565,N,N,0,0,20,267,322,N,0,,32030.81,0,-30.3678,0,0,0
'8999909982000,'8999909982000,SAMPOERNA MILD 12,RK,ROKOK,5,5,27000,99999.99999,N,N,0,0,20,308,429,N,0,,17536.23,0,99999.99999,0,0,0
'8999909096004,'8999909096004,SAMPOERNA MILD,RK,ROKOK,33000,33000,36000,9.09091,N,N,0,0,50,546,958,N,0,,23884.14,0,-27.62381,0,0,0
'8999909000650,'8999909000650,SAMPOERNA MENTHOL BURST,RK,ROKOK,33000,33000,36000,9.09091,N,N,0,0,15,64,94,N,0,,0,0,0,0,0,0
'8886008101053,'8886008101053,AIR AQUA 500 ML,AIR,AIR,1950,1950,5000,156.41026,N,N,0,0,150,2868,2789,N,0,,0,0,0,0,0,0
'8992752091127,'8992752091127,AIR AQUA 750 ML,AIR,AIR,0,0,6000,0,N,N,0,0,30,0,17,N,0,,0,0,0,0,0,0
'C,'C,CEMILAN,C,CEMILAN,700,700,1000,42.85714,N,N,0,0,0,4127,32437,N,0,,0,0,0,0,0,0
'WSP-LCH,'WSP-LCH,WIJA SOJU SPARKLING LYCHEE,NULL,NULL,20500,20500,25000,21.95122,N,N,0,0,0,12,1,N,0,,0,0,0,0,0,0
'8993268342024,'8993268342024,AIR CHEERS ALKALINE 500ML,AIR,AIR,1745,1755.1,5000,186.53295,N,N,0,0,50,96,114,N,0,,0,0,0,0,0,0
'8992752011033,'8992752011033,AIR VIT 500ML,AIR,AIR,1500,1161.29,5000,233.33333,N,N,0,0,50,24,43,N,0,,0,0,0,0,0,0
'8886008101091,'8886008101091,AIR AQUA 1500ML,AIR,AIR,4400,4400,8000,81.81818,N,N,0,0,200,972,2483,N,0,,0,0,0,0,0,0
'8997206580387,'8997206580387,BEER BINTANG KECIL 330ML,BEER,BEER,18417,18417,23000,24.88462,N,N,0,0,500,720,1618,N,0,,0,0,0,0,0,0
'8997206580400,'8997206580400,BEER BINTANG BESAR 720ML,BEER,BEER,33000,33000,38000,15.15152,N,N,0,0,300,496,1058,N,0,,0,99999999.99,0,99999.99999,0,0
'4033100066726,'4033100066726,CAMEL PURPLE,RK,ROKOK,27000,27000,30000,11.11111,N,N,0,0,20,141,192,N,0,,0,0,0,0,0,0
'42139447,'42139447,CAMEL WHITE,RK,ROKOK,27000,27000,30000,11.11111,N,N,0,0,20,277,388,N,0,,0,0,0,0,0,0
'8998989110129,'8998989110129,GUDANG GARAM SURYA 12,RK,ROKOK,24200,24200,27000,11.57025,N,N,0,0,20,671,1169,N,0,,0,0,0,0,0,0
'8998989110167,'8998989110167,GUDANG GARAM SURYA 16,RK,ROKOK,33150,33150,36000,8.59729,N,N,0,0,20,182,331,N,0,,0,0,0,0,0,0
'8992761111137,'8992761111137,SCHWEPPES TONIC WATER,BTL,MINUMAN,5167,5167,8000,54.82872,N,N,0,0,50,59,96,N,0,,0,0,0,0,0,0
'8992761111151,'8992761111151,SCHWEPPES JAHE,BTL,MINUMAN,4800,4800,8000,66.66667,N,N,0,0,30,24,126,N,0,,0,0,0,0,0,0
'8992761111144,'8992761111144,SCHWEPPES AIR SODA,BTL,MINUMAN,0,0,11000,0,N,N,0,0,30,0,41,N,0,,0,0,0,0,0,0
'8997206580493,'8997206580493,BEER BINTANG RADLER 330 ML,BEER,BEER,18333,18333,23000,25.45683,N,N,0,0,100,36,155,N,0,,0,0,0,0,0,0
'8997206580981,'8997206580981,BEER BINTANG RADLER ORG 330ML,BEER,BEER,14925,14925,25000,67.50419,N,N,0,0,100,12,106,N,0,,0,0,0,0,0,0
'8996001354124,'8996001354124,BENG-BENG 20G,C,CEMILAN,1764,1764,2500,41.72336,Y,N,0,0,113,950,997,N,0,,0,0,0,0,0,0
'8996001600146,'8996001600146,TEH PUCUK 350 ML,BTL,MINUMAN,2625,2625,5000,90.47619,N,N,0,0,24,731,724,N,0,,0,0,0,0,0,0
